sensor_id,timestamp,temperature
25572,2023-02-15 00,26
23269,2023-02-15 00,34
25513,2023-02-15 00,32
48386,2023-02-15 00,34
24256,2023-02-15 00,18
23265,2023-02-15 00,34
24441,2023-02-15 00,32
24051,2023-02-15 00,30
229470,2023-02-15 00,15
23517,2023-02-15 00,29
226894,2023-02-15 00,15
23330,2023-02-15 00,32
23709,2023-02-15 00,24
49807,2023-02-15 00,26
46671,2023-02-15 00,29
23592,2023-02-15 00,28
226919,2023-02-15 00,15
29835,2023-02-15 00,33
50388,2023-02-15 00,27
27056,2023-02-15 00,33
54100,2023-02-15 00,35
54112,2023-02-15 00,32
25652,2023-02-15 00,33
54464,2023-02-15 00,34
23915,2023-02-15 00,24
55859,2023-02-15 00,16
37247,2023-02-15 00,23
54200,2023-02-15 00,34
37600,2023-02-15 00,33
49890,2023-02-15 00,26
23906,2023-02-15 00,34
57322,2023-02-15 00,33
23241,2023-02-15 00,34
29112,2023-02-15 00,32
32973,2023-02-15 00,26
49982,2023-02-15 00,26
23307,2023-02-15 00,33
23288,2023-02-15 00,31
25421,2023-02-15 00,33
226885,2023-02-15 00,14
230233,2023-02-15 00,16
24208,2023-02-15 00,28
49929,2023-02-15 00,33
23301,2023-02-15 00,34
24093,2023-02-15 00,27
225404,2023-02-15 00,15
226281,2023-02-15 00,17
234027,2023-02-15 00,15
225493,2023-02-15 00,17
230913,2023-02-15 00,16
225500,2023-02-15 00,17
226891,2023-02-15 00,15
225584,2023-02-15 00,16
226346,2023-02-15 00,16
231135,2023-02-15 00,16
226880,2023-02-15 00,16
228198,2023-02-15 00,16
233740,2023-02-15 00,16
229451,2023-02-15 00,16
24441,2023-02-15 01,31
54200,2023-02-15 01,33
25572,2023-02-15 01,26
25421,2023-02-15 01,33
37600,2023-02-15 01,33
23906,2023-02-15 01,33
23709,2023-02-15 01,24
25513,2023-02-15 01,32
37247,2023-02-15 01,24
27056,2023-02-15 01,33
29112,2023-02-15 01,32
25652,2023-02-15 01,33
23517,2023-02-15 01,28
49890,2023-02-15 01,27
23241,2023-02-15 01,34
23307,2023-02-15 01,33
48386,2023-02-15 01,35
23592,2023-02-15 01,27
226281,2023-02-15 01,16
29835,2023-02-15 01,32
49807,2023-02-15 01,27
46671,2023-02-15 01,29
50388,2023-02-15 01,27
23330,2023-02-15 01,32
234027,2023-02-15 01,15
24051,2023-02-15 01,30
54100,2023-02-15 01,35
54112,2023-02-15 01,31
23269,2023-02-15 01,34
23301,2023-02-15 01,34
54464,2023-02-15 01,34
24093,2023-02-15 01,26
49982,2023-02-15 01,26
24208,2023-02-15 01,28
55859,2023-02-15 01,17
49929,2023-02-15 01,33
23265,2023-02-15 01,33
23915,2023-02-15 01,24
57322,2023-02-15 01,32
229470,2023-02-15 01,15
226892,2023-02-15 01,16
24256,2023-02-15 01,18
32973,2023-02-15 01,25
23288,2023-02-15 01,29
226919,2023-02-15 01,15
225502,2023-02-15 01,15
226885,2023-02-15 01,15
230233,2023-02-15 01,15
225404,2023-02-15 01,15
230913,2023-02-15 01,15
225500,2023-02-15 01,14
225584,2023-02-15 01,14
226346,2023-02-15 01,14
226911,2023-02-15 01,15
226894,2023-02-15 01,14
231135,2023-02-15 01,14
226880,2023-02-15 01,15
228198,2023-02-15 01,15
229451,2023-02-15 01,14
230297,2023-02-15 01,15
233740,2023-02-15 01,15
226891,2023-02-15 01,15
24441,2023-02-15 02,31
54200,2023-02-15 02,33
25572,2023-02-15 02,25
228432,2023-02-15 02,16
225493,2023-02-15 02,16
25421,2023-02-15 02,32
37600,2023-02-15 02,33
23906,2023-02-15 02,33
23709,2023-02-15 02,24
25513,2023-02-15 02,32
37247,2023-02-15 02,23
27056,2023-02-15 02,33
29112,2023-02-15 02,32
25652,2023-02-15 02,33
23517,2023-02-15 02,28
49890,2023-02-15 02,27
23241,2023-02-15 02,34
23307,2023-02-15 02,33
48386,2023-02-15 02,34
23592,2023-02-15 02,26
226281,2023-02-15 02,16
29835,2023-02-15 02,32
49807,2023-02-15 02,26
46671,2023-02-15 02,28
50388,2023-02-15 02,25
23330,2023-02-15 02,31
234027,2023-02-15 02,15
24051,2023-02-15 02,30
54100,2023-02-15 02,35
54112,2023-02-15 02,31
23269,2023-02-15 02,33
23301,2023-02-15 02,34
228391,2023-02-15 02,16
54464,2023-02-15 02,34
24093,2023-02-15 02,26
49982,2023-02-15 02,24
24208,2023-02-15 02,27
55859,2023-02-15 02,16
49929,2023-02-15 02,33
23265,2023-02-15 02,33
23915,2023-02-15 02,24
57322,2023-02-15 02,32
229470,2023-02-15 02,16
226892,2023-02-15 02,16
24256,2023-02-15 02,18
32973,2023-02-15 02,25
23288,2023-02-15 02,29
226919,2023-02-15 02,16
225502,2023-02-15 02,16
226885,2023-02-15 02,15
230233,2023-02-15 02,17
225404,2023-02-15 02,16
230913,2023-02-15 02,16
225500,2023-02-15 02,16
225584,2023-02-15 02,16
226346,2023-02-15 02,17
226911,2023-02-15 02,16
226894,2023-02-15 02,16
231135,2023-02-15 02,16
226880,2023-02-15 02,17
228198,2023-02-15 02,17
229451,2023-02-15 02,16
230297,2023-02-15 02,17
233740,2023-02-15 02,17
226891,2023-02-15 02,16
24441,2023-02-15 03,32
54200,2023-02-15 03,33
25572,2023-02-15 03,25
228432,2023-02-15 03,17
225493,2023-02-15 03,18
25421,2023-02-15 03,32
37600,2023-02-15 03,33
23906,2023-02-15 03,33
23709,2023-02-15 03,23
25513,2023-02-15 03,32
37247,2023-02-15 03,24
27056,2023-02-15 03,33
29112,2023-02-15 03,32
25652,2023-02-15 03,33
23517,2023-02-15 03,28
49890,2023-02-15 03,27
23241,2023-02-15 03,34
23307,2023-02-15 03,33
48386,2023-02-15 03,34
23592,2023-02-15 03,27
226281,2023-02-15 03,17
29835,2023-02-15 03,32
49807,2023-02-15 03,26
46671,2023-02-15 03,28
50388,2023-02-15 03,24
23330,2023-02-15 03,32
234027,2023-02-15 03,16
24051,2023-02-15 03,31
54100,2023-02-15 03,35
54112,2023-02-15 03,32
23269,2023-02-15 03,33
23301,2023-02-15 03,34
228391,2023-02-15 03,17
54464,2023-02-15 03,34
24093,2023-02-15 03,25
49982,2023-02-15 03,23
24208,2023-02-15 03,26
55859,2023-02-15 03,15
